Bank SSTS
Caudal Anterior Cingulate
Caudal Middle Frontal
Cuneus
Entorhinal
Fusiform
Inferior Parietal
Inferior Temporal
Isthmus Cingulate
Lateral Occipital
Lateral Orbitofrontal
Lingual
Medial Orbitofrontal
Middle Temporal
Parahippocampal
Paracentral
Pars Opercularis
Pars Orbitalis
Pars Triangularis
Pericalcarine
Postcentral
Posterior Cingulate
Precentral
Precuneus
Rostral Anterior Cingulate
Rostral Middle Frontal
Superior Frontal
Superior Parietal
Superior Temporal
Supramarginal
Frontal Pole
Temporal Pole
Transverse Temporal
Insula
Thalamus
Caudate
Putamen
Pallidum
Amygdala
Hippocampus
Accumbens
Bank SSTS
Caudal Anterior Cingulate
Caudal Middle Frontal
Cuneus
Entorhinal
Fusiform
Inferior Parietal
Inferior Temporal
Isthmus Cingulate
Lateral Occipital
Lateral Orbitofrontal
Lingual
Medial Orbitofrontal
Middle Temporal
Parahippocampal
Paracentral
Pars Opercularis
Pars Orbitalis
Pars Triangularis
Pericalcarine
Postcentral
Posterior Cingulate
Precentral
Precuneus
Rostral Anterior Cingulate
Rostral Middle Frontal
Superior Frontal
Superior Parietal
Superior Temporal
Supramarginal
Frontal Pole
Temporal Pole
Transverse Temporal
Insula
Thalamus
Caudate
Putamen
Pallidum
Amygdala
Hippocampus
Accumbens
