Order,AnimalName,CorrectedAnimalName,Corrected,DTIResolution,SNR,BrainOrientation,GM,WM,log10_GM_,log10_WM_,log10_BrV_,BrVol,TotFib,CC,AC,HC,TotalCommisures,ComRatio,file_prefix
Marsupialia,RedNeckWallaby,RedNeckWallaby,0,0.51,39.1795735949295,RL,18.89,4.3,4.27623195792183,3.63346845557959,4.36530074863799,23.19,59987,0,6441,4016,10457,17.432110290563,RedNeckWallaby_FF3_allfibers_kperm
Perissodactyla,Donkey,Donkey,0,1.3,27.8507704009563,LR,281,63,5.44870631990508,4.79934054945358,5.53655844257153,344,51337,6438,4,1254,7696,14.991136996708,Donkey_FF3_allfibers_kperm
Perissodactyla,Horse1,Horse1,0,1.5,41.3837264960304,LR,527.9,95.89,5.72255166200096,4.98177331862775,5.79503840828642,623.79,91565,12271,1,238,12510,13.662425599301,Horse1_FF3_allfibers_kperm
Perissodactyla,Horse2,Horse2,0,1.5,25.862616705835,LR,434.86,45,5.63834946152091,4.65321251377534,5.68111454967551,479.86,58646,7046,1,694,7741,13.1995362002524,Horse2_FF3_allfibers_kperm
Perissodactyla,Onager,Onager,0,1.286,26.0976200979035,LR,253.01,47.94,5.40313768662638,4.68069802969764,5.47849434766081,300.95,42003,7312,4,871,8187,19.4914648953646,Onager_FF3_allfibers_kperm
Perissodactyla,Tapir1,Tapir1,0,0.8,58.2345421542251,RL,126.49,20.19,5.10205619257519,4.30513631894364,5.16637090128857,146.68,111751,12252,332,5788,18372,16.4401213411961,Tapir1_FF3_allfibers_kperm
Perissodactyla,Zebra,Zebra,0,1.598,40.6629625187727,LR,422.84,125.09,5.62617606415473,5.0972225925199,5.73872507936841,547.93,44282,7301,1,734,8036,18.1473284856149,Zebra_FF3_allfibers_kperm
Primates,Baboon1,Baboon1,0,0.888,88.80085517569,RL,122.5,18.7,5.08813608870055,4.2718416065365,5.14983469671579,141.2,63434,10309,574,715,11598,18.2835703250623,Baboon1_FF3_allfibers_kperm
Primates,Baboon2,Baboon2,0,0.9,96.9490672505166,RL,112.5,36.6,5.05115252244738,4.56348108539441,5.173477643453,149.1,79520,12529,590,669,13788,17.3390342052314,Baboon2_FF3_allfibers_kperm
Primates,Baboon3,Baboon3,0,0.85,106.189846435371,RL,90.94,30.41,4.95875494986909,4.48301642014413,5.08403978066795,121.35,56507,7267,103,568,7938,14.047817084609,Baboon3_FF3_allfibers_kperm
Primates,Baboon4,Baboon4,0,0.933,89.688396990676,RL,115.7,33.78,5.06333335895175,4.52865964523499,5.1745830891776,149.48,71394,8389,564,751,9704,13.5921786144494,Baboon4_FF3_allfibers_kperm
Primates,Baboon5,Baboon5,0,0.78,85.7606056161163,RL,97.84,57.99,4.99051644402823,4.76335310874822,5.19265107066798,155.83,144886,8293,1896,2346,12535,8.65162955703105,Baboon5_FF3_allfibers_kperm
Primates,BrownLemur1,BrownLemur1,0,0.48,47.5862750407155,RL,17.32,1.14,4.23854788768133,3.05690485133647,4.26623169668989,18.46,84509,7589,254,2532,10375,12.276798920825,BrownLemur1_FF3_allfibers_kperm
Primates,BrownLemur2,BrownLemur2,0,0.45,23.1562222300429,RL,13.7839,2.3918,4.13937211371408,3.37872486155057,4.20886308374935,16.1757,57833,5095,127,1610,6832,11.8133245724759,BrownLemur2_FF3_allfibers_kperm
